shipment_id,ship_date,expected_delivery_date,actual_delivery_date,delivery_status,origin_city,destination_city,logistics_company,supplier_name,quantity,shipping_cost_ngn
SHIP0001,2024-01-02,2024-01-07,2024-01-08,delayed,Lagos,Abuja,DHL Nigeria,Supplier_A,120,18000
SHIP0002,2024-01-05,2024-01-10,2024-01-09,delivered,Kano,Lagos,GIG Logistics,Supplier_B,340,45000
SHIP0003,2024-01-08,2024-01-14,2024-01-18,delayed,Abuja,Port Harcourt,Fedex Nigeria,Supplier_C,85,22000
SHIP0004,2024-01-09,2024-01-16,2024-01-15,delivered,Lagos,Ibadan,Kwik Delivery,Supplier_A,510,51000
SHIP0005,2024-01-11,2024-01-17,2024-01-17,delivered,Kano,Kaduna,Red Star Express,Supplier_D,210,31000
SHIP0006,2024-01-13,2024-01-19,2024-01-21,delayed,Port Harcourt,Lagos,DHL Nigeria,Supplier_E,430,76000
SHIP0007,2024-01-15,2024-01-20,2024-01-19,delivered,Abuja,Kano,Dispatch Riders,Supplier_B,150,28500
SHIP0008,2024-01-16,2024-01-22,2024-01-26,delayed,Ibadan,Lagos,GIG Logistics,Supplier_C,670,88000
SHIP0009,2024-01-18,2024-01-24,2024-01-23,delivered,Lagos,Onitsha,Fedex Nigeria,Supplier_A,95,19500
SHIP0010,2024-01-20,2024-01-26,2024-01-29,delayed,Kaduna,Abuja,Kwik Delivery,Supplier_D,310,54000
SHIP0011,2024-01-22,2024-01-28,2024-01-28,delivered,Abuja,Benin City,Red Star Express,Supplier_E,260,39000
SHIP0012,2024-01-25,2024-01-30,2024-02-02,delayed,Port Harcourt,Warri,DHL Nigeria,Supplier_B,410,62000
SHIP0013,2024-01-27,2024-02-02,2024-02-01,delivered,Lagos,Calabar,Dispatch Riders,Supplier_C,530,71000
SHIP0014,2024-01-29,2024-02-05,2024-02-08,delayed,Kano,Jos,GIG Logistics,Supplier_A,190,25500
SHIP0015,2024-02-01,2024-02-07,2024-02-07,delivered,Ibadan,Ilorin,Fedex Nigeria,Supplier_D,470,64000
SHIP0016,2024-02-03,2024-02-10,2024-02-12,delayed,Lagos,Kano,Kwik Delivery,Supplier_E,300,58000
SHIP0017,2024-02-06,2024-02-11,2024-02-10,delivered,Abuja,Lagos,Red Star Express,Supplier_B,240,33000
SHIP0018,2024-02-08,2024-02-14,2024-02-18,delayed,Warri,Port Harcourt,DHL Nigeria,Supplier_C,360,69000
SHIP0019,2024-02-10,2024-02-16,2024-02-16,delivered,Calabar,Enugu,Dispatch Riders,Supplier_A,155,27500
SHIP0020,2024-02-12,2024-02-18,2024-02-21,delayed,Onitsha,Lagos,GIG Logistics,Supplier_D,390,73500

